kd	vaggacode	bmc_chapter	vagga	vincode	pts_ref	bod_pages	pali_name	english_name	main_theme	subtopic	summary	rules_prohibitions	allowances	sc_brahmali	sc_horner
KD1	MV1		Mahavagga	VIN-MV1.4	Vin.1.4	BD.4.6	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.5	Vin.1.5–6	BD.4.7–10	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.12	Vin.1.20–22	BD.4.28–31	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.13	Vin.1.23	BD.4.32	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.25	Vin.1.32–46	BD.4.53–58	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.32	Vin.1.53–63	BD.4.77–82	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.33		BD.4.83	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.34		BD.4.83	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.35		BD.4.84	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.53	Vin.1.79–81	BD.4.106–108	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.68		BD.4.122	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD10	MV10		Mahavagga	VIN-MV10.1	Vin.1.337–340	BD.4.483–487	Kosambakakkhandhaka	Kosambī	Schism	Disputes	The narrative of the great schism at Kosambi.			suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.1	Vin.1.339	BD.4.485	Kosambakakkhandhaka	Kosambī	Schism	Expulsion	Suspending the monk who started the dispute.		I allow you, monks, to carry out the Act of Suspension...	suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.5	Vin.1.352–355	BD.4.507–512	Kosambakakkhandhaka	Kosambī	Schism	Reconciliation	Reuniting the Sangha after the dispute.			suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.6	Vin.1.355	BD.4.512	Kosambakakkhandhaka	Schism	Devadatta	Five Points	Reference to Devadatta's attempt to split the Sangha.			suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.1	Vin.1.337–340	BD.4.483–487	Kosambakakkhandhaka	Kosambī	Schism	Schism (Sanghabheda)	Dealing with disputes, quarrels, and the formal schism of the Sangha.	Monks should not take sides in a dispute if it leads to schism. Suspending a monk who refuses to see his offense.	Allowed: To eat separately during a schism. Reconciliation (eating together) once the dispute is settled.	suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.1	Vin.1.339	BD.4.485	Kosambakakkhandhaka	Kosambī	Schism	Schism (Sanghabheda)	Dealing with disputes, quarrels, and the formal schism of the Sangha.	Monks should not take sides in a dispute if it leads to schism. Suspending a monk who refuses to see his offense.	Allowed: To eat separately during a schism. Reconciliation (eating together) once the dispute is settled.	suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.5	Vin.1.352–355	BD.4.507–512	Kosambakakkhandhaka	Kosambī	Schism	Schism (Sanghabheda)	Dealing with disputes, quarrels, and the formal schism of the Sangha.	Monks should not take sides in a dispute if it leads to schism. Suspending a monk who refuses to see his offense.	Allowed: To eat separately during a schism. Reconciliation (eating together) once the dispute is settled.	suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD10	MV10		Mahavagga	VIN-MV10.6	Vin.1.355	BD.4.512	Kosambakakkhandhaka	Schism	Devadatta	Schism (Sanghabheda)	Dealing with disputes, quarrels, and the formal schism of the Sangha.	Monks should not take sides in a dispute if it leads to schism. Suspending a monk who refuses to see his offense.	Allowed: To eat separately during a schism. Reconciliation (eating together) once the dispute is settled.	suttacentral.net/brahmali/kd10	suttacentral.net/horner/kd10
KD11	CV1		Culavagga	VIN-CV11.1	Vin.2.1–3	BD.5.1–3	Kammakkhandhaka	Formal Acts	Discipline	Act of Censure (Panduka & Lohitaka)	Establishes the procedure for censuring monks who create strife and quarrels.	It is not suitable, monks, it is not becoming in these foolish men, it is not fitting, it is not worthy of a recluse, it is not allowable, it is not to be done.	Well now, monks, let the Order carry out a (formal) act of censure against the monks who are followers of Paṇḍuka and Lohitaka.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.1	Cv.I.1–8	BMC II Ch12	Kammakkhandhaka	Disciplinary Transactions	Discipline	Censure (Tajjaniya)	A formal act of censure for a monk who causes arguments or disputes.	A Community transaction... carried out against a bhikkhu not in his presence is invalid.	(The Community may carry out) a transaction of censure against a bhikkhu who is a maker of strife, a maker of quarrels, a maker of disputes...	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.10	Vin.2.8	BD.5.12	Kammakkhandhaka	Formal Acts	Discipline	Duties for Guidance	Applies the same 18 restrictions (as Censure) to the Act of Guidance.	Monks, when a (formal) act of guidance has been carried out against a monk, he should conduct himself properly... he should not quarrel with monks.	(None explicit in this section)	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.11	Vin.2.8–9	BD.5.12–13	Kammakkhandhaka	Formal Acts	Discipline	Revocation of Guidance	Allows revocation of Guidance if the monk becomes learned and behaves well.	(None explicit in this section)	Well then, monks, let the Order revoke the (formal) act of guidance for the monk Seyyasaka.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.12	Vin.2.9	BD.5.13–14	Kammakkhandhaka	Formal Acts	Discipline	Procedure for Revocation (Guidance)	The formal motion for revoking the Act of Guidance.	(None explicit in this section)	And thus, monks, should it be revoked. Monks, the monk Seyyasaka... should speak thus to it: ‘I, honoured sirs, for whom a (formal) act of guidance was carried out by the Order, am conducting myself properly... I ask for the revocation of the (formal) act of guidance’.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.13	Vin.2.9–13	BD.5.14–18	Kammakkhandhaka	Formal Acts	Discipline	Act of Banishment (Assaji-Punabbasu)	Establishes Banishment for monks corrupting families and engaging in bad habits.	How, monks, can these foolish men indulge in bad habits such as these?	Do you go, Sāriputta and Moggallāna, and having gone to Kiṭāgiri, carry out a (formal) act of banishment from Kiṭāgiri against those monks who are followers of Assaji and Punabbasu.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.13	Cv.I.13–17	BMC II Ch12	Kammakkhandhaka	Disciplinary Transactions	Discipline	Banishment (Pabbajaniya)	Banishing a monk from a specific monastery/area for bad behavior or corrupting lay families.	(A bhikkhu under banishment) should not accept a regular bhikkhu's paying respect... he should not criticize the transaction.	(The Community may carry out) a transaction of banishment against a bhikkhu who is a corrupter of families, a man of depraved conduct.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.14	Vin.2.13–14	BD.5.18–20	Kammakkhandhaka	Formal Acts	Discipline	Candidates for Banishment	Lists qualities justifying banishment (frivolity, wrong livelihood, etc.).	(None explicit in this section)	Monks, if a monk is possessed of three qualities, an Order, if it so desires, may carry out a (formal) act of banishment against him: if he is a maker of strife... if he is possessed of bodily frivolity... verbal frivolity... wrong bodily mode of livelihood.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.15	Vin.2.14	BD.5.20	Kammakkhandhaka	Formal Acts	Discipline	Duties for Banishment	Applies the 18 restrictions to banished monks.	Monks, a monk against whom a (formal) act of banishment has been carried out should conduct himself properly... he should not quarrel with monks.	(None explicit in this section)	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.16	Vin.2.14–15	BD.5.20–21	Kammakkhandhaka	Formal Acts	Discipline	Revocation of Banishment	Rules for when banishment should or should not be revoked.	(None explicit in this section)	Well then, monks, do not let the Order revoke the (formal) act of banishment (if they do not conduct themselves properly); Monks, if a monk is possessed of these eight qualities the (formal) act of banishment may be revoked.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.17	Vin.2.15	BD.5.21–22	Kammakkhandhaka	Formal Acts	Discipline	Procedure for Revocation (Banishment)	The formal motion for revoking Banishment.	(None explicit in this section)	And thus, monks, should it be revoked. Monks, that monk against whom the (formal) act of banishment has been carried out... should speak thus to it: ‘A (formal) act of banishment, honoured sirs, was carried out against me by the Order, but I am conducting myself properly... I ask for the revocation of the (formal) act of banishment’.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.18	Vin.2.15–18	BD.5.22–26	Kammakkhandhaka	Formal Acts	Discipline	Act of Reconciliation (Sudhamma)	Establishes Reconciliation for monks who insult faithful laypeople.	How can you, foolish man, jeer at the householder Citta... with a low thing, and scoff at him with a low thing?	Well then, monks, let the Order carry out a (formal) act of reconciliation for the monk Sudhamma, saying: ‘The householder Citta should be asked to forgive you.’	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.18	Cv.I.18–24	BMC II Ch12	Kammakkhandhaka	Disciplinary Transactions	Discipline	Reconciliation (Patisaraniya)	Requiring a monk to apologize to laypeople he has insulted or harmed.	(A bhikkhu under reconciliation) should not accept a regular bhikkhu's paying respect... he should not find fault with those who perform the transaction.	(The Community may carry out) a transaction of reconciliation against a bhikkhu who has striven for the material loss of householders... or spoken in dispraise of the Buddha, Dhamma, or Sangha.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.19	Vin.2.18	BD.5.26	Kammakkhandhaka	Formal Acts	Discipline	Validity of Reconciliation	Criteria for a valid Act of Reconciliation.	(None explicit in this section)	Monks, if it is possessed of three qualities, a (formal) act of reconciliation comes to be a (formal) act that is legally valid.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.2	Vin.2.3	BD.5.3–5	Kammakkhandhaka	Formal Acts	Discipline	Validity of Acts (Not by rule)	Defines the twelve cases where a formal act is invalid (e.g., done without the accused present).	If, monks, a (formal) act of censure is possessed of these three qualities it comes to be not legally valid and not disciplinarily valid and one that is hard to settle.	(None explicit in this section)	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.20	Vin.2.18–19	BD.5.26–27	Kammakkhandhaka	Formal Acts	Discipline	Candidates for Reconciliation	Lists qualities justifying Reconciliation (harming laity).	(None explicit in this section)	Monks, if a monk is possessed of five qualities, the Order, if it so desires, may carry out a (formal) act of reconciliation for him: if he tries for non-receiving (of gains) by householders... reviles and abuses householders... speaks dispraise of the Awakened One to householders.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.21	Vin.2.19	BD.5.27	Kammakkhandhaka	Formal Acts	Discipline	Duties for Reconciliation	Applies the 18 restrictions to monks undergoing Reconciliation.	Monks, a monk for whom a (formal) act of reconciliation has been carried out should conduct himself properly... he should not quarrel with monks.	(None explicit in this section)	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.22	Vin.2.19–20	BD.5.27–29	Kammakkhandhaka	Formal Acts	Discipline	Asking Forgiveness	Procedure for the monk to ask forgiveness from the layperson, with a companion.	(None explicit in this section)	Well then, monks, let the Order give a companion messenger to the monk Sudhamma to ask the householder Citta to forgive him.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.23	Vin.2.20–21	BD.5.29	Kammakkhandhaka	Formal Acts	Discipline	Revocation of Reconciliation	Revocation allowed if the monk behaves properly.	(None explicit in this section)	Well then, monks, let the Order revoke the (formal) act of reconciliation for the monk Sudhamma.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.24	Vin.2.21	BD.5.29–30	Kammakkhandhaka	Formal Acts	Discipline	Procedure for Revocation (Reconciliation)	Formal motion for revoking Reconciliation.	(None explicit in this section)	And thus, monks, should it be revoked... ‘I, honoured sirs, for whom a (formal) act of reconciliation was carried out by an Order, am conducting myself properly... I ask for the revocation of the (formal) act of reconciliation’.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.25	Vin.2.21–22	BD.5.30–31	Kammakkhandhaka	Formal Acts	Discipline	Suspension (Not Seeing Offence)	Establishes Suspension for refusing to acknowledge an offence.	How, monks, can this foolish man, having fallen into an offence, not want to see the offence?	Well then, monks, let the Order carry out a (formal) act of suspension against the monk Channa for not seeing his offence, (and there should be) no eating with an Order.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.25	Cv.I.25–35	BMC II Ch12	Kammakkhandhaka	Disciplinary Transactions	Discipline	Suspension (Ukkhepaniya)	Suspending a monk's rights (communion) for refusing to acknowledge or fix an offense, or holding wrong views.	The Pātimokkha should not be recited when he is present; he is not allowed to participate in any Community transaction.	(The Community may carry out) a transaction of suspension against a bhikkhu for not seeing an offense... for not making amends for an offense... for not relinquishing an evil view.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.26	Vin.2.22	BD.5.31	Kammakkhandhaka	Formal Acts	Discipline	Validity/Candidates (Suspension)	Criteria for Suspension.	(None explicit in this section)	Monks, if an Order so desires, it may carry out a (formal) act of suspension for not seeing an offence against these three (kinds of) monks.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.27	Vin.2.22–23	BD.5.31–32	Kammakkhandhaka	Formal Acts	Discipline	Duties for Suspension	Severe restrictions (43 observances) for suspended monks, including loss of seniority rights.	Monks, a monk against whom a (formal) act of suspension for not seeing his offence has been carried out should conduct himself properly. This is proper conduct in this case: he should not ordain... he should not consent to a regular monk’s greeting him, standing up before him, saluting him with joined palms, performing the proper duties... he should not eat with an Order.	(None explicit in this section)	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.28	Vin.2.23–24	BD.5.32–34	Kammakkhandhaka	Formal Acts	Discipline	Revocation of Suspension (Not Seeing)	Revocation allowed if conduct improves.	(None explicit in this section)	Well then, monks let the Order revoke the (formal) act of suspension for not seeing his offence against the monk Channa.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.3	Vin.2.3–4	BD.5.5–6	Kammakkhandhaka	Formal Acts	Discipline	Validity of Acts (By rule)	Defines the twelve cases where a formal act is valid.	(None explicit in this section)	If, monks, a (formal) act of censure is possessed of these three qualities it comes to be a (formal) act that is legally valid and a (formal) act that is disciplinarily valid and one that is easily settled.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.30	Vin.2.24–25	BD.5.35	Kammakkhandhaka	Formal Acts	Discipline	Procedure for Revocation (Suspension)	Motion for revoking Suspension.	(None explicit in this section)	And thus, monks, should it be revoked... ‘A (formal) act of suspension for not seeing an offence was carried out against me... I ask for the revocation’.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.31	Vin.2.25	BD.5.35	Kammakkhandhaka	Formal Acts	Discipline	Suspension (Not Making Amends)	Establishes Suspension for refusing to atone for an offence.	How, monks, can this foolish man, having fallen into an offence, not want to make amends for the offence?	Well then, monks, let the Order carry out a (formal) act of suspension against the monk Channa for not making amends for his offence, (and there should be) no eating with an Order.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.32	Vin.2.25–27	BD.5.35–38	Kammakkhandhaka	Formal Acts	Discipline	Suspension (Wrong Views)	Establishes Suspension for refusing to give up a pernicious false view.	How can you, foolish man, speak thus: ‘In so far as I understand dhamma taught by the Lord, it is that in following those things called stumbling-blocks by the Lord, there is no stumbling-block at all’?	Well then, monks, let the Order carry out a (formal) act of suspension for not giving up a wrong view against the monk Ariṭṭha who was formerly a vulture-trainer, (and with) no eating with an Order.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.33	Vin.2.27	BD.5.38	Kammakkhandhaka	Formal Acts	Discipline	Duties for Suspension (Wrong Views)	Applies 43 restrictions to Arittha.	(Same restrictions as other Suspensions)	(None explicit in this section)	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.34	Vin.2.27–28	BD.5.38–39	Kammakkhandhaka	Formal Acts	Discipline	Revocation of Suspension (Wrong Views)	Revocation allowed if view is abandoned.	(None explicit in this section)	Well then, monks, let the Order revoke the (formal) act of suspension for not giving up a wrong view.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
KD11	CV1		Culavagga	VIN-CV11.35	Vin.2.28	BD.5.39	Kammakkhandhaka	Formal Acts	Discipline	Procedure for Revocation (Wrong Views)	Motion for revoking Suspension.	(None explicit in this section)	And thus, monks, should it be revoked... ‘I ask for the revocation of the (formal) act of suspension for not giving up a wrong view’.	suttacentral.net/brahmali/kd11	suttacentral.net/horner/kd11
