order	vincode	pts_ref	gender	bu-bni-corr	pali_name	english_name	offence_type_pali	offence_type_eng	offence_grades	chapter_theme	chapter	vagga	theme	topic	purpose	critics	rule_pali	rule_english	no_offense_factors	offense_factors_bmc	notes	formulas bmc 1	sangha acts	useful_texts	suttacentral
23	BU-NP4	Vin.3.1–3.40	Monks		Purāṇacīvara	Robes Used 	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Bhikkhunis	yo pana bhikkhu aññātikāya bhikkhuniyā purāṇacīvaraṃ dhovāpeyya vā rajāpeyya vā ākoṭāpeyya vā, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have an old robe [-cloth] washed, dyed, or beaten by an unrelated bhikkhunī, [this is a case] involving relinquishing with confession	when a female relation is washing it if a woman assistant who is not a relation is (helping); if she washes it unasked; if he makes her wash an unused one; if he makes her wash another requisite, except the robe; if it is (washed) by a female probationer, by a female novice; if he is mad, if he is the first wrong-doer.	1 Object: a used robe. sitting cloths and bed sheets are grounds for a dukkaṭa.  2 Effort. One tells an unrelated bhikkhunī to wash, dye, or beat the robe. Female trainees and female novices are not grounds for an offense.  3 Result. The bhikkhunī washes, dyes, or beats the robe as requested.	Unrelated is explained by the Vibhaṅga as meaning unrelated back through seven grandfathers. In-laws, are not. But good advise is to regard as his relatives only those blood-relations with whom ties of kinship are actually felt.	Idaṁ me bhante cīvaraṁ  nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe of mine, venerable sir, is to be forfeited. I forfeit it to you.”			https://suttacentral.net/pli-tv-bu-vb-np?view=normal
24	BU-NP5	Vin.3.1–3.40	Monks		Cīvarapaṭiggahana	Robe Cloth Receiving 	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Bhikkhunis	yo pana bhikkhu aññātikāya bhikkhuniyā hatthato cīvaraṃ paṭiggaṇheyya aññatra pārivattakā, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should accept a robe [-cloth] from the hand of an unrelated bhikkhunī, except in an exchange [of robes], [this is a case] involving relinquishment with confession	if she is a relation; if there is an exchange; if there is a large thing for a small thing, or a small thing for a large thing; if a monk takes it on trust; if he takes it for the time being; if he takes another requisite, except the robe; if she is a female probationer, a female novice; if he is mad, if he is the first wrong-doer	1 Object: any piece of robe-cloth of the six suitable kinds, measuring at least four by eight fingerbreadths. Other requisites are not grounds for an offense. 2 Effort. The bhikkhu receives such cloth from an unrelated bhikkhunī and does not give her anything in exchange.	The reason behind this rule is expressed by a single sentence in the origin story: 'It's hard for us women to come by things.' Receiving need not be hand-to-hand	Idaṁ me bhante cīvaraṁ  nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe of mine, venerable sir, is to be forfeited. I forfeit it to you.”		Bu Np 20	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
25	BU-NP6	Vin.3.1–3.40	Monks	BNI-NP16	Aññātakaviññatti	Robe Asking to Unrelated People 	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Bhikkhus 	yo pana bhikkhu aññātakaṃ gahapatiṃ vā gahapatāniṃ vā cīvaraṃ viññāpeyya aññatra samayā, nissaggiyaṃ pācittiyaṃ.  tatthāyaṃ samayo, acchinnacīvaro vā hoti bhikkhu, naṭṭhacīvaro vā, ayaṃ tattha samayo	If any bhikkhu should request a robe [-cloth] from an unrelated male householder or female householder, except at the [right] occasion, [this is a case] involving giving up and confession.  Here the occasion is this: he is a bhikkhu whose robe has been robbed or whose robe has been lost; this is the occasion here	if it is at the right time; if they belong to relations; if they are invited; if it is for another; if it is by means of his own property; if he is mad, if he is the first wrong-doer.	1) Object: a piece of any of the six suitable kinds of robe-cloth, measuring at least four by eight fingerbreadths. 2) Effort: One asks, except at the proper time, for such cloth from a lay person who is not related back through one's great x 7 grandfathers. Even if one perceives the lay person to be related when in fact he/she isn't, that fulfills the factor here. 3) Result: One receives the cloth.	If all of a bhikkhu's robes are snatched away or destroyed, should not approach other people while naked. he is permitted to take any cloth he finds there — robes, sheets, mats, pillow cases, or whatever — to wear as a makeshift robe as long as he has the intention of returning it when he obtains a proper robe. 	Idaṃ me bhante cīvaraṃ aññātakaṃ gahapatikaṃ aññatra samayā viññāpitaṃ nissaggiyaṃ. Imāhaṃ āyasmato nissajjāmi, which means, "This robe (robe-cloth) of mine, venerable sir, requested from an unrelated householder at other than the proper occasion, is to be forfeited. I forfeit it to you." For more than one robe: Imāni me bhante cīvarāni aññātakaṃ gahapatikaṃ aññatra samayā viññāpitāni nissaggiyāni. Imānāhaṃ āyasmato nissajjāmi.		Bu Np 7, 20, 	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
26	BU-NP7	Vin.3.1–3.40	Monks	BNI-NP17	Tatuttari	Robes Accept  to Many	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Laity  	tañce aññātako gahapati vā gahapatānī vā bahūhi cīvarehi abhihaṭṭhuṃ pavāreyya, santaruttaraparamaṃ tena bhikkhunā tato cīvaraṃ sāditabbaṃ. tato ce uttari sādiyeyya, nissaggiyaṃ pācittiyaṃ.	If the unrelated male householder or female householder should invite [him] to take as many robe [-cloth]s [as he likes], [then cloth for] an upper [robe] together with an lower [robe] can be accepted at the most from that [robe-cloth] by that bhikkhu; if he should accept more from that [robe-cloth], [this is a case] involving relinquishment with confession.	 one takes excess cloth with the promise to return the excess when one has finished one's robe(s), and the donors tell one to keep the excess  the donors are offering cloth for reasons other than that one's robes were snatched away or destroyed one is asking from one's relatives or people who have previously made one an invitation to ask for cloth or one gets the cloth by means of one's own resources.	1) Object: any piece of the six kinds of suitable robe-cloth, measuring at least four by eight fingerbreadths. 2) Effort: One asks for more than the allowable amount of robe-cloth from an unrelated householder who has not previously made an invitation to ask.  3) Result: One gets the excess robe-cloth.	The allowance in the preceding rule applies only when robes from one's basic set of three,  If one's spare robes get snatched away or destroyed, one may not make use of the allowance to ask for robe-cloth at all. one should take only enough cloth to make the allowable number of robes. one may take excess cloth if one promises to return the excess when one has finished making one's robe(s). And if the donor tells one to keep the excess, one may do so without penalty.	Idaṃ me bhante cīvaraṃ aññātakaṃ gahapatikaṃ tad'uttariṃ viññāpitaṃ nissaggiyaṃ. Imāhaṃ āyasmato nissajjāmi, which means, "This robe (robe-cloth) of mine, venerable sir, requested beyond that (allowable) from an unrelated householder, is to be forfeited. I forfeit it to you." For more than one robe: Imāni me bhante cīvarāni aññātakaṃ gahapatikaṃ tad'uttariṃ viññāpitāni nissaggiyāni. Imānāhaṃ āyasmato nissajjāmi.		Bu Np 6	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
27	BU-NP8	Vin.3.1–3.40	Monks	BNI-NP18	Upakkhata	Robes Fine  Request From Robe Fund	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Laity  	bhikkhuṃ paneva uddissa aññātakassa gahapatissa vā gahapatāniyā vā cīvaracetāpannaṃ upakkhaṭaṃ hoti "iminā cīvaracetāpannena cīvaraṃ cetāpetvā itthannāmaṃ bhikkhuṃ cīvarena acchādessāmī"ti, tatra ce so bhikkhu pubbe appavārito upasaṅkamitvā cīvare vikappaṃ āpajjeyya "sādhu vata maṃ āyasmā iminā cīvaracetāpannena evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā acchādehī"ti kalyāṇakamyataṃ upādāya, nissaggiyaṃ pācittiyaṃ.	Now, if a robe-fund has been set up for a bhikkhu by an unrelated male householder or female householder [thinking]: “Having traded this robe-fund for a robe, I shall clothe the bhikkhu named so and so with a robe,” and then if that bhikkhu, previously uninvited, having approached [the householder], should make a suggestion about the robe [-cloth] [saying}: “It would be good indeed, Sir, [if you] having traded this robe-fund for such and such a robe, were to clothe me [with a robe],” [if the suggestion is made] out of a liking for what is fine, [this is a case] involving giving it up and confession.	If they belong to relations, if they are invited; if it is for another; if it is by means of his own property; if he gets something of small value in exchange while he desires to get something costly in exchange; if he is mad, if he is the first wrong-doer	1 Object. The texts mention only that this rule concerns funds for a robe (cīvara) would probably mean a finished robe.  2 Intention. One wants to get a better robe than the lay person is planning to buy. "better quality, higher price."  3 Effort. One requests the unrelated lay person to improve the robe.  4 Result. One gets the long, broad, etc., robe that the householder bought in line with one's request.	A wise policy for a bhikkhu not to make stipulations, when uninvited, to a lay person who has prepared funds for purchasing any kind of requisite for his use	Idaṁ me bhante cīvaraṁ pubbe appavārito aññātakaṁ gahapatikaṁ upasaṅkamitvā cīvare vikappaṁ āpannaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This cloth, venerable sir—mine after, without having been invited beforehand, I approached an unrelated householder and made stipulations about cloth—is to be forfeited. I forfeit it to you.”		Bu Np 9	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
28	BU-NP9	Vin.3.1–3.40	Monks	BNI-NP19	Dutiyaupakkhata	Robes Fine  Request From Combined  Robe Fund	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Laity  	bhikkhuṃ paneva uddissa ubhinnaṃ aññātakānaṃ gahapatīnaṃ vā gahapatānīnaṃ vā paccekacīvaracetāpannāni upakkhaṭāni honti "imehi mayaṃ paccekacīvaracetāpannehi paccekacīvarāni cetāpetvā itthannāmaṃ bhikkhuṃ cīvarehi acchādessāmā"ti, tatra ce so bhikkhu pubbe appavārito upasaṅkamitvā cīvare vikappaṃ āpajjeyya "sādhu vata maṃ āyasmanto imehi paccekacīvaracetāpannehi evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā acchādetha ubhova santā ekenā"ti kalyāṇakamyataṃ upādāya, nissaggiyaṃ pācittiyaṃ.	Now, if separate robe-funds have been set up for a bhikkhu by both unrelated male householders or female householders [thinking]: “Having traded these separate robe-funds for separate robes, we shall clothe the bhikkhu named so and so with robes,” and then if that bhikkhu, previously uninvited, having approached [the householders], should make a suggestion about the robe [saying}: “It would be good indeed, Sirs, [if you] having traded these separate robe-funds for a such and such a robe, were to clothe me [with a robe], [you] both being one [donor],” [if the suggestion is made] out of a liking for what is fine, [this is a case] involving relinquishment with confession	If they belong to relations, if they are invited; if it is for another; if it is by means of his own property; if he gets something of small value in exchange while he desires to get something costly in exchange; if he is mad, if he is the first wrong-doer	1 Object. The texts mention only that this rule concerns funds for a robe (cīvara) would probably mean a finished robe.  2 Intention. One wants to get a better robe than the lay person is planning to buy. "better quality, higher price."  3 Effort. One asks the two donors to put their funds together to purchase one robe..  4 Result. One gets the long, broad, etc., robe that the householder bought in line with one's request.	The question of whether the request would raise the amount of money they would have to spend is not an issue here, although the Vibhaṅga says that if one makes a request that would reduce the amount of money they would spend, there is no offense.	For cloth received after making stipulations to two or more unrelated householders, use the same formula as for the preceding rule, changing aññātakaṁ gahapatikaṁ to aññātake gahapatike.		Bu Np 8	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
29	BU-NP10	Vin.3.1–3.40	Monks	BNI-NP20	Rāja	Robe Fund Excessive Prompting	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Robes	Kathinavagga	Requisites 	Robes	Easy to support 	Laity  	bhikkhuṃ paneva uddissa rājā vā rājabhoggo vā brāhmaṇo vā gahapatiko vā dūtena cīvaracetāpannaṃ pahiṇeyya "iminā cīvaracetāpannena cīvaraṃ cetāpetvā itthannāmaṃ bhikkhuṃ cīvarena acchādehī"ti. so ce dūto taṃ bhikkhuṃ upasaṅkamitvā evaṃ vadeyya "idaṃ kho, bhante, āyasmantaṃ uddissa cīvaracetāpannaṃ ābhataṃ, paṭiggaṇhātu āyasmā cīvaracetāpanna"nti. tena bhikkhunā so dūto evamassa vacanīyo "na kho mayaṃ, āvuso, cīvaracetāpannaṃ paṭiggaṇhāma, cīvarañca kho mayaṃ paṭiggaṇhāma kālena kappiya"nti. so ce dūto taṃ bhikkhuṃ evaṃ vadeyya "atthi panāyasmato koci veyyāvaccakaro"ti. cīvaratthikena, bhikkhave, bhikkhunā veyyāvaccakaro niddisitabbo ārāmiko vā upāsako vā "eso kho, āvuso, bhikkhūnaṃ veyyāvaccakaro"ti. so ce dūto taṃ veyyāvaccakaraṃ saññāpetvā taṃ bhikkhuṃ upasaṅkamitvā evaṃ vadeyya "yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamatāyasmā kālena, cīvarena taṃ acchādessatī"ti. cīvaratthikena, bhikkhave, bhikkhunā veyyāvaccakaro upasaṅkamitvā dvattikkhattuṃ codetabbo sāretabbo "attho me, āvuso, cīvarenā"ti, dvattikkhattuṃ codayamāno sārayamāno taṃ cīvaraṃ abhinipphādeyya, iccetaṃ kusalaṃ, no ce abhinipphādeyya, catukkhattuṃ pañcakkhattuṃ chakkhattuparamaṃ tuṇhībhūtena uddissa ṭhātabbaṃ, catukkhattuṃ pañcakkhattuṃ chakkhattuparamaṃ tuṇhībhūto uddissa tiṭṭhamāno taṃ cīvaraṃ abhinipphādeyya, iccetaṃ kusalaṃ, tato ce uttari vāyamamāno taṃ cīvaraṃ abhinipphādeyya, nissaggiyaṃ pācittiyaṃ.  no ce abhinipphādeyya, yatassa cīvaracetāpannaṃ ābhataṃ, tattha sāmaṃ vā gantabbaṃ, dūto vā pāhetabbo "yaṃ kho tumhe āyasmanto bhikkhuṃ uddissa cīvaracetāpannaṃ pahiṇittha, na taṃ tassa bhikkhuno kiñci atthaṃ anubhoti, yuñjantāyasmanto sakaṃ, mā vo sakaṃ vinassā"ti, ayaṃ tattha sāmīci.	Now, if a king or a kings’ official or a brahmin or a male householder should convey by messenger a robe-fund for a bhikkhu [saying]: “Having traded this robe-fund for a robe,clothe the bhikkhu named so and so with a robe,” and if that messenger, having approached that bhikkhu, should say so: “Venerable Sir, this robe-fund has been brought for the venerable one. Let the venerable one accept the robefund!” [then] that messenger should be spoken to thus by that bhikkhu: “Friend, we do not accept a robe-fund, but we do accept a robe at the right time [when it is] allowable.” If that messenger should say thus to that bhikkhu: “Is there, perhaps, someone who provides services for the venerable one?” [then,] bhikkhus, by a bhikkhu who is in need of a robe, a service provider can be pointed out: a monastery attendant or a male layfollower [saying]: “Sir, this is the bhikkhus’ service provider.” If that messenger having instructed that service provider, having approached that bhikkhu, should say so: “Venerable Sir, the service provider whom the venerable one has pointed out hass been instructed by me. Let the venerable one approach [him] at the right time [and] he will clothe you with a robe,” [then] bhikkhus, having approached the service provider, [the service provider] can be prompted [and] can be reminded two or three times by the bhikkhu who is in need of a robe [saying]: “Friend, I am in need of a robe.” [If through] prompting [and] reminding [him] two or three times, he should have [him] bring forth that robe, it is good. If he should not have [him] bring [it] forth, [then] four times, five times, six times at the mosti [it] can be stood [for] by [a bhikkhu] who has become silent. [If through] standing silently for [it] four times, five times, six times at the mosti he should have [him] bring forth that robei it is good; if [through] making effort more than thati he should have [him] produce that robei [this is a case] involving relinquishment and confession.  If he should not have [him] produce [it]i [then] from wherever the robe-fund may have been brought, there [he] himself can goi or a messenger can be sent [saying]: “Sirs, that robe-fund which you sent for the bhikkhu does not fulfil any need of that bhikkhu. Let the sirs endeavour for [what is their] own. Do not lose what is your own.” This is the proper procedure here	in stating three times, in standing six times; in stating less than three times, in standing less than six times; if himself not stating, he gives; if stating, the owners give; if he is mad, if he is the first wrong-doer	1) Object: a fund for the purchase of robe-cloth left with a steward. This factor to cover any fund set aside for one's own requisites. 2) Effort: One makes an excessive number of promptings. A  dukkaṭa for the excessive promptings 3) Result: One obtains the requested requisite.	The purpose of the protocols is to free bhikkhus from the even more bothersome worries and complexities that come with participating in buying, selling, and monetary matters in general. If a bhikkhu follows the protocols recommended here, the money placed with the steward still belongs to the donor, and the responsibility for making a fair trade lies with the steward.   Important that he not abuse the steward's services.  One may say only, "I need a robe (or whatever the requisite may be), Not "Give me a robe," "Get me a robe," "Buy me a robe.   To apply the protocols  where the steward is indicated by the bhikkhu, by the donor, or by neither .   For Sangha an acceptable phrased "This is for the purpose of the four requisites," or "Accept whatever is allowable coming from this," without mentioning the Saṅgha or any bhikkhu. But not "I'm giving this to the Saṅgha," for whatever the purpose, the gift may not be accepted. For donation boxes "The donation box is over there," but not, "Put it there."  If checking account is set up for impersonal purposes such as the construction and upkeep of monastery buildings, a bhikkhu may not sign a check drawing on the account. A fund has been set up for a particular requisite, it should as a general principle be used to buy only that requisite.	Idaṁ me bhante cīvaraṁ atireka-tikkhattuṁ codanāya atireka-chakkhattuṁ ṭhānena abhinipphāditaṁ nissaggiyaṁ. Imāhaṁ āyasmato nissajjāmi, which means, “This robe (robe-cloth) of mine, venerable sir, produced after more than three reminders, after more than six standings, is to be forfeited. I forfeit it to you.”		AN 4:28, Bu NP 18, 19, & 20. Bu Pc 84.  Mv 6 34.21  Meṇḍaka Allowance	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
30	BU-NP11	Vin.3.1–3.40	Monks		Kosiya	Blanket Silk	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Properties 	Blanket 	Easy to support 	Laity  	yo pana bhikkhu kosiyamissakaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have a rug mixed with silk made, [this is a case] involving expiation with forfeiture	If he makes a canopy or a ground-covering9 or a screen-wall or a mattress or a squatting mat; if he is mad, if he is the first wrong-doer.	1) Object: a felt blanket/rug containing silk threads and intended for one's own use. 2) Effort: One either makes it oneself, gets someone else to make it, finishes what others have left unfinished, or gets someone else to finish what one has left unfinished. 3) Result: One obtains it after it is finished (or finishes it, if one is making it oneself).	Santhata, translated here as a felt blanket/rug, is a type of cloth described in the texts simply by its method of manufacture. Instead of being woven, it is made by strewing threads over a smooth surface, sprinkling them with a glue-like mixture made from boiled rice, using a roller to roll it smooth, and then repeating the process until the felt is thick and strong enough for one's purpose	The procedures for forfeiture, confession, and receiving the blanket/rug in return are the same as in the preceding rules on robe-cloth.		Bu Np 11 - 14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
31	BU-NP12	Vin.3.1–3.40	Monks		Suddhakāla	Blanket Black  	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Properties 	Blanket 	Differ from laity	Laity  	yo pana bhikkhu suddhakāḷakānaṃ eḷakalomānaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have a rug made of pure black sheep’s wool; [this is a case] involving expiation with forfeiture.	If he makes it taking a tulā weight of white, a tulā weight of reddish brown colours; if he  makes it taking more of white, more of reddish brown colours; if he makes it taking only of white, only of reddish brown colours; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat; if he is mad, if he is the first wrong-doer	1) Object: a felt blanket made entirely of black wool and intended for one's own use. 2) Effort: One either makes it oneself, gets someone else to make it, finishes what others have left unfinished, or gets someone else to finish what one has left unfinished. 3) Result: One obtains it after it is finished (or finishes it, if one is making it oneself).	recurrent theme throughout the Vinaya: that stylish, luxurious, or elegant articles are not in keeping with the bhikkhus' way of life.	The procedures for forfeiture, confession, and receiving the blanket/rug in return are the same as in the preceding rules on robe-cloth.		Bu Np 11 - 14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
32	BU-NP13	Vin.3.1–3.40	Monks		Dvebhāga	Blanket of Mixed Colors 	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Properties 	Blanket 	Differ from laity	Laity  	navaṃ pana bhikkhunā santhataṃ kārayamānena dve bhāgā suddhakāḷakānaṃ eḷakalomānaṃ ādātabbā, tatiyaṃ odātānaṃ, catutthaṃ gocariyānaṃ. anādā ce bhikkhu dve bhāge suddhakāḷakānaṃ eḷakalomānaṃ, tatiyaṃ odātānaṃ, catutthaṃ gocariyānaṃ, navaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ.	By a bhikkhu who is having a new rug made, two parts of pure black sheep’s wool are to be taken, [and] a third [part] of white, a fourth [part] of ruddy brown. If a bhikkhu should have a rug made, without having taken two parts of pure black sheep’s wool, [and] a third [part] of white, a fourth [part] of ruddy brown, [this is a case] involving relinquishing with confession	If he makes it taking a tulā weight of white, a tulā weight of reddish brown colours; if he  makes it taking more of white, more of reddish brown colours; if he makes it taking only of white, only of reddish brown colours; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat; if he is mad, if he is the first wrong-doer	1) Object: a felt blanket made of black wool  more than half the total amount of wool used and intended for one's own use. 2) Effort: One either makes it oneself, gets someone else to make it, finishes what others have left unfinished, or gets someone else to finish what one has left unfinished. 3) Result: One obtains it after it is finished (or finishes it, if one is making it oneself).	The important point is that the rug be no more than one-half black wool.  As in the preceding rules, making a felt blanket/rug that is more than one-half black wool for another person's use entails a dukkaṭa	The procedures for forfeiture, confession, and receiving the blanket/rug in return are the same as in the preceding rules on robe-cloth.		Bu Np 11 - 14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
33	BU-NP14	Vin.3.1–3.40	Monks		Chabbassa	Blanket Kept for 6 Years	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Properties 	Blanket 	Easy to support 	Laity  	navaṃ pana bhikkhunā santhataṃ kārāpetvā chabbassāni dhāretabbaṃ, orena ce channaṃ vassānaṃ taṃ santhataṃ vissajjetvā vā avissajjetvā vā aññaṃ navaṃ santhataṃ kārāpeyya aññatra bhikkhusammutiyā, nissaggiyaṃ pācittiyaṃ.	By a bhikkhu who has had a new rug made, it is to be kept for six years [at least]. If within less than six years, having given up or not having given up that rug, he should have another new rug made, except with the authorisation of bhikkhus, [this is a case] involving relinquishing and confession	if he makes one after six years; if he makes one after more than six years; if he makes it or causes it to be made for another; if, acquiring what was made for another, he makes use of it; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat6; if there is the agreement of the monks; if he is mad, if he is the first wrong-doer.	1) Object: a new felt blanket/rug for one's own use. 2) Effort: One makes it or has it made less than six years after one's last one was made, even though one has not been formally authorized by the bhikkhus to do so. 3) Result: One acquires the rug when it is finished.	The authorization by the bhikkhus is best explained by noting that there is no exemption under this rule for a bhikkhu whose felt rug/blanket is snatched away, lost, or destroyed. If the Community are satisfied that he did not intentionally lose it, destroy it, or put it in a place where it might easily get stolen — can give him the authorization to get a new one made.			Bu Np 11 - 14	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
34	BU-NP15	Vin.3.1–3.40	Monks		Nisīdanasanthata	Sitting Blanket 	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Requisites 	Blanket 	Easy to support 	Buddha Rule	nisīdanasanthataṃ pana bhikkhunā kārayamānena purāṇasanthatassa sāmantā sugatavidatthi ādātabbā dubbaṇṇakaraṇāya. anādā ce bhikkhu purāṇasantha tassa sāmantā sugatavidatthiṃ, navaṃ nisīdanasanthataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ.	By a bhikkhu who is having a sitting-rug made, a sugata-span from the border of an old rug is to be taken for making [it] stained. If a bhikkhu, without having taken a sugata-span from the border of an old rug, should have a new sitting rug made, [this is a case] involving expiation with forfeiture.	he makes it having taken (a piece) the breadth of the accepted span from all round an old rug; if, failing to get it, he makes it having taken a smaller (piece); if, failing to get it, he makes it not having taken (any portion); if acquiring what was made for another, he makes use of it; if he makes a canopy or a ground-covering or a screen-wall or a mattress or a squatting-mat; if he is mad, if he is the first wrong-doer.	1) Object: a felt sitting rug made, a piece of old felt a sugata span (25 cm.) on each side is to be incorporated for the sake of discoloring it 2) Effort: One makes it or has it made 	A sitting cloth — for protecting his robes from getting soiled by any place where he sits down, and for protecting any place where he sits down from being soiled by him.   if he goes without one for more than four months  he incurs a dukkaṭa (Cv 5 18. One ofthe  purposes in formulating this rule was to teach bhikkhus how to make good use of old, used requisites so as to maintain the good faith of those who donated them.			Bu Pj 89AN 7.19, DN 16, Mv 8 16.1-3	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
35	BU-NP16	Vin.3.1–3.40	Monks		Eḷakaloma	Carrying Wool	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Properties 	Wool	Differ from laity	Bhikkhus 	bhikkhuno paneva addhānamaggappaṭipannassa eḷakalomāni uppajjeyyuṃ, ākaṅkhamānena bhikkhunā paṭiggahetabbāni, paṭiggahetvā tiyojanaparamaṃ sahatthā haritabbāni asante hārake. tato ce uttari hareyya, asantepi hārake, nissaggiyaṃ pācittiyaṃ.	Now, if sheep’s wool should become available to a bhikkhu who is travelling on a main road, by a bhikkhu who is wishing [so, it] can be accepted, having accepted [it, it] can be carried with his own hand for three yojanas at the most when there is no one present who can carry it; if he should carry it further than that, even when there is no one present who can carry it, [this is a case] involving relinquishment and confession.	When someone else carries the wool for him, When he is unable to find a suitable place to stay within 3 yojanas and so  he carries the wool further, looking for such a place. When, having lost possession of that wool, it is later returned to him and he  carries it up to another 3 yojana	1 Object. Wool, under this rule, refers to wool that has not been made into goods.  2 Effort includes not only carrying unmade wool more than three leagues (48 km.=30 miles) oneself, but also placing it in a bundle or vehicle belonging to someone else without his/her knowing about it, and then letting him/her take it more than three leagues.  3 Intention.  to carry wool past the three-league mark for motives other than looking for a place to stay.	1 yojana is around 10 miles or 16 kilometres.				https://suttacentral.net/pli-tv-bu-vb-np?view=normal
36	BU-NP17	Vin.3.1–3.40	Monks		Eḷakalomadhovāpana	Bhikkhuni Made to Wash Wool	Nissaggiya Pacittiya	Relinquish with confession	Offense/ wrong doing 		Silk	Kosiyavagga	Properties 	Wool	Easy to support 	Bhikkhunis	yo pana bhikkhu aññātikāya bhikkhuniyā eḷakalomāni dhovāpeyya vā rajāpeyya vā vijaṭāpeyya vā, nissaggiyaṃ pācittiyaṃ	If any bhikkhu should have sheep’s wool washed, dyed, or carded by an unrelated bhikkhunī, [this is a case] involving expiation with forfeiture.	When she washes or dyes or combs the wool on her own initiative.   bhikkhu who gets a bhikkhunī unrelated to him to wash woolen cloth or yarn that has not yet been used.	1 Object. wool that has not been made into cloth or yarn.  2 Effort. One tells an unrelated bhikkhunī to wash, dye, or beat the wool.  3 Result. The bhikkhunī washes, dyes, or beats the robe as requested	The reason because the bhikkhunīs, washing, dyeing, and carding wool, neglect the training			Bu Np 4	https://suttacentral.net/pli-tv-bu-vb-np?view=normal
